country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","20-05-2025 21:00:00",16.5150833,80.5181667,OZONE,3,28,24
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","20-05-2025 21:00:00",14.675886,77.593027,CO,40,44,42
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","20-05-2025 21:00:00",13.204880,79.097889,NH3,5,5,5
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","20-05-2025 21:00:00",13.204880,79.097889,SO2,10,11,10
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","20-05-2025 21:00:00",13.204880,79.097889,CO,35,52,41
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","20-05-2025 21:00:00",14.465052,78.824187,PM10,37,500,125
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","20-05-2025 21:00:00",14.465052,78.824187,SO2,15,16,15
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","20-05-2025 21:00:00",14.465052,78.824187,CO,16,21,16
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","20-05-2025 21:00:00",14.465052,78.824187,OZONE,31,31,31
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","20-05-2025 21:00:00",16.9872867,81.7363176,NO2,13,46,23
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","20-05-2025 21:00:00",16.9872867,81.7363176,SO2,1,9,3
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","20-05-2025 21:00:00",26.63086,84.90051,NO2,10,15,13
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","20-05-2025 21:00:00",26.63086,84.90051,SO2,5,18,14
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","20-05-2025 21:00:00",26.11442,85.39813,NO2,2,6,3
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","20-05-2025 21:00:00",26.11442,85.39813,NH3,2,3,2
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","20-05-2025 21:00:00",26.11442,85.39813,SO2,2,6,4
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","20-05-2025 21:00:00",26.11442,85.39813,OZONE,25,63,49
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","20-05-2025 21:00:00",26.1403345,85.3650192,PM2.5,10,130,31
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","20-05-2025 21:00:00",26.1403345,85.3650192,NH3,2,3,3
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","20-05-2025 21:00:00",26.1403345,85.3650192,CO,54,107,65
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","20-05-2025 21:00:00",26.1209,85.3647,PM2.5,23,62,35
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","20-05-2025 21:00:00",26.1209,85.3647,NO2,6,17,11
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","20-05-2025 21:00:00",16.9872867,81.7363176,CO,12,40,30
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)","20-05-2025 21:00:00",13.67,79.35,PM10,16,43,21
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)","20-05-2025 21:00:00",13.67,79.35,CO,2,76,35
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","20-05-2025 21:00:00",16.536107,80.594233,NH3,4,6,5
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","20-05-2025 21:00:00",16.486692,80.699436,PM10,49,61,53
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","20-05-2025 21:00:00",16.486692,80.699436,SO2,11,18,14
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","20-05-2025 21:00:00",16.486692,80.699436,CO,22,35,27
India,Assam,Silchar,"Tarapur, Silchar - PCBA","20-05-2025 21:00:00",24.82827,92.79525,CO,17,24,23
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","20-05-2025 21:00:00",26.987634,94.636574,PM2.5,13,40,24
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","20-05-2025 21:00:00",26.987634,94.636574,NH3,3,5,4
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","20-05-2025 21:00:00",26.146529,87.454184,NO2,7,10,7
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","20-05-2025 21:00:00",25.5626095,84.663264,PM10,NA,NA,NA
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","20-05-2025 21:00:00",24.75746,84.366208,NO2,7,8,8
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","20-05-2025 21:00:00",24.75746,84.366208,NH3,1,2,2
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","20-05-2025 21:00:00",25.204762,85.514960,CO,2,6,3
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","20-05-2025 21:00:00",25.567520,83.966379,NO2,4,5,5
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","20-05-2025 21:00:00",25.567520,83.966379,CO,24,30,27
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","20-05-2025 21:00:00",25.567520,83.966379,OZONE,1,12,2
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","20-05-2025 21:00:00",25.7808257,84.7446768,NH3,NA,NA,NA
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","20-05-2025 21:00:00",24.7955,84.9994,NO2,2,8,6
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","20-05-2025 21:00:00",24.762518,84.982348,PM2.5,33,68,50
